min_cluster_size,min_samples,n_neighbors,min_dist,n_components,num_topics,outlier_ratio,silhouette_score,composite_score
50,10,25,0.1,5,2,0.0,0.6587196588516235,0.6664238464832306
40,10,25,0.1,5,2,0.0,0.6587196588516235,0.6664238464832306
30,5,25,0.1,5,2,0.0,0.6587196588516235,0.6664238464832306
40,15,25,0.1,5,2,0.0,0.6587196588516235,0.6664238464832306
50,15,25,0.1,5,2,0.0,0.6587196588516235,0.6664238464832306
50,5,25,0.1,5,2,0.0,0.6587196588516235,0.6664238464832306
30,15,25,0.1,5,2,0.0,0.6587196588516235,0.6664238464832306
20,15,15,0.25,5,14,0.23299244108492664,0.5568002462387085,0.6590127564276945
50,10,25,0.0,5,10,0.1925300133392619,0.6104257702827454,0.6573060919584938
20,15,15,0.0,5,10,0.029791018230324588,0.47857072949409485,0.6549299718917291
50,5,35,0.0,5,9,0.18497109826589594,0.612477719783783,0.6508750895096387
30,15,10,0.0,5,8,0.029791018230324588,0.4949178993701935,0.6422861983359736
50,5,10,0.0,5,8,0.052912405513561585,0.5055034756660461,0.6389572221199742
30,5,25,0.0,5,9,0.046242774566473986,0.4739256501197815,0.6370815714556357
40,5,10,0.0,5,7,0.03423743886171632,0.5083756446838379,0.6367859365061262
40,10,10,0.0,5,7,0.036905291240551356,0.5093775391578674,0.6363030406868473
50,10,10,0.0,5,7,0.036905291240551356,0.5093775391578674,0.6363030406868473
50,15,10,0.0,5,7,0.044019564250778125,0.512874186038971,0.6353865362297645
40,15,10,0.0,5,7,0.044019564250778125,0.512874186038971,0.6353865362297645
20,15,10,0.1,5,10,0.04668741662961316,0.4432119131088257,0.6331047650786069
30,5,15,0.25,5,14,0.28457092040907067,0.5372446179389954,0.6321602559293732
20,10,10,0.1,5,10,0.05113383726100489,0.4435569941997528,0.631703804348537
30,5,15,0.0,5,8,0.0377945753668297,0.476019948720932,0.6309808755460289
40,5,35,0.25,5,2,0.0,0.5790218710899353,0.6305598419904709
20,10,35,0.25,5,2,0.0,0.5790218710899353,0.6305598419904709
40,15,35,0.25,5,2,0.0,0.5790218710899353,0.6305598419904709
20,15,35,0.25,5,2,0.0,0.5790218710899353,0.6305598419904709
50,10,35,0.25,5,2,0.0,0.5790218710899353,0.6305598419904709
40,10,35,0.25,5,2,0.0,0.5790218710899353,0.6305598419904709
20,5,35,0.25,5,2,0.0,0.5790218710899353,0.6305598419904709
30,5,35,0.25,5,2,0.0,0.5790218710899353,0.6305598419904709
50,5,35,0.25,5,2,0.0,0.5790218710899353,0.6305598419904709
50,15,35,0.25,5,2,0.0,0.5790218710899353,0.6305598419904709
30,10,35,0.25,5,2,0.0,0.5790218710899353,0.6305598419904709
30,15,35,0.25,5,2,0.0,0.5790218710899353,0.6305598419904709
30,10,15,0.0,5,8,0.039573143619386394,0.47464853525161743,0.6297412405964427
40,5,15,0.1,5,2,0.0,0.5753036737442017,0.6288866531848907
50,15,15,0.1,5,2,0.0,0.5753036737442017,0.6288866531848907
50,10,15,0.1,5,2,0.0,0.5753036737442017,0.6288866531848907
30,15,15,0.1,5,2,0.0,0.5753036737442017,0.6288866531848907
30,5,15,0.1,5,2,0.0,0.5753036737442017,0.6288866531848907
40,15,15,0.1,5,2,0.0,0.5753036737442017,0.6288866531848907
50,5,15,0.1,5,2,0.0,0.5753036737442017,0.6288866531848907
40,10,15,0.1,5,2,0.0,0.5753036737442017,0.6288866531848907
30,10,15,0.1,5,2,0.0,0.5753036737442017,0.6288866531848907
30,15,15,0.0,5,8,0.04979991107158737,0.47932687401771545,0.6282671244329163
40,5,15,0.0,5,7,0.05202312138728324,0.4986613392829895,0.626189510191796
50,5,15,0.0,5,7,0.05202312138728324,0.4986613392829895,0.626189510191796
50,10,15,0.0,5,7,0.05380168963983993,0.4978373348712921,0.6251962093181375
40,10,15,0.0,5,7,0.05380168963983993,0.4978373348712921,0.6251962093181375
50,15,15,0.0,5,7,0.06402845709204091,0.5025425553321838,0.6237341899172684
40,15,15,0.0,5,7,0.06402845709204091,0.5025425553321838,0.6237341899172684
20,15,15,0.1,5,10,0.07825700311249444,0.4369100332260132,0.6192195638623329
50,5,25,0.0,5,7,0.059582036460649176,0.48505645990371704,0.6174216941954453
40,5,25,0.0,5,7,0.059582036460649176,0.48505645990371704,0.6174216941954453
50,5,25,0.25,5,2,0.0,0.5376611351966858,0.6119475108385086
30,15,25,0.25,5,2,0.0,0.5376611351966858,0.6119475108385086
20,5,25,0.25,5,2,0.0,0.5376611351966858,0.6119475108385086
50,15,25,0.25,5,2,0.0,0.5376611351966858,0.6119475108385086
50,10,25,0.25,5,2,0.0,0.5376611351966858,0.6119475108385086
20,15,25,0.25,5,2,0.0,0.5376611351966858,0.6119475108385086
20,10,25,0.25,5,2,0.0,0.5376611351966858,0.6119475108385086
40,15,25,0.25,5,2,0.0,0.5376611351966858,0.6119475108385086
30,10,25,0.25,5,2,0.0,0.5376611351966858,0.6119475108385086
30,5,25,0.25,5,2,0.0,0.5376611351966858,0.6119475108385086
40,10,25,0.25,5,2,0.0,0.5376611351966858,0.6119475108385086
40,5,25,0.25,5,2,0.0,0.5376611351966858,0.6119475108385086
